tool_name,json_valid,func_name_correct,required_fields,type_correct,enum_compliant,hallucinated_params,argument_match,n
create_audit_task,1.0,1.0,1.0,1.0,1.0,0.0,0.6547619047619048,6
create_invoice,0.5,1.0,1.0,1.0,1.0,0.0,0.75,8
escalate_issue,0.875,1.0,1.0,1.0,1.0,0.0,0.7857142857142857,8
extract_document_data,0.9,0.8888888888888888,0.8518518518518519,1.0,1.0,0.0,0.6851851851851852,10
generate_report,0.75,0.8333333333333334,1.0,1.0,1.0,0.0,1.0,8
get_customer_risk_profile,0.8888888888888888,0.625,1.0,1.0,1.0,0.0,0.875,9
get_portfolio_summary,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2
get_transaction_history,1.0,1.0,1.0,1.0,1.0,0.0,0.894949494949495,11
get_workflow_status,0.8,0.9166666666666666,0.9,1.0,1.0,0.0,0.7619047619047619,15
log_time_entry,1.0,1.0,0.9818181818181819,1.0,1.0,0.0,0.8181818181818182,11
run_compliance_check,1.0,1.0,1.0,1.0,1.0,0.0,0.8438775510204081,7
run_database_query,0.5714285714285714,0.75,0.75,1.0,1.0,0.0,0.625,7
schedule_client_meeting,1.0,0.8571428571428571,1.0,1.0,1.0,0.0,0.780952380952381,7
search_customers,0.875,0.8571428571428571,0.9285714285714286,1.0,1.0,0.07142857142857142,0.5845238095238096,16
send_notification,1.0,1.0,1.0,1.0,1.0,0.0,0.7142857142857143,7
update_customer_record,0.8571428571428571,1.0,0.8888888888888888,1.0,1.0,0.0,0.7222222222222222,7
